name,free_returns,items_sold,price,status,shipping
STARBUCKS Pike Place Whole Bean Medium Roast Coffee 6.6 lb Bag See Full Info,False,,4299,Brand New,0
Lot of 4 Boxes of 22 Starbucks Coffee Pod & K-Cup Toffeenut,False,15,3199,Brand New,0
1 Lb Pound Fresh Roasted Coffee Beans Special Seasonal Holiday Blend - 2021,True,,1000,Brand New,0
New Illy Blend Tostato Classico 100% Arabica Caffe Macinato Coffee 250g - 02/23,False,,1199,Brand New,0
"BB. 3/22+ Starbucks K-Cup Coffee Pods, Dark Roast Sumatra, 100% Arabica 96 Count",False,65,4199,Brand New,0
Starbucks Pumpkin Spice Ground Coffee ~ Light Roast ~ 6 bags (11 oz) ~ 12/2021,False,,2499,Brand New,0
Folgers Black Silk Espresso (40.3 oz.) 100% Pure Mountain Grown Coffee,True,,1899,Brand New,0
Brazilian Yellow Bourbon Peaberry Coffee Beans Medium Roasted 2 Unit 1 Pound Bag,True,1194,2995,Brand New,349
"New England Coffee Blueberry Cobbler Medium Roast Ground Coffee, 11 Oz",False,,1090,Brand New,0
"Black Rifle Coffee Rounds (Just Black (Medium Roast), 12 Count) BB 5/21",False,,989,Brand New,0
"Starbucks by Nespresso, House Blend Lungo Coffee 100ct",False,0,2500,Brand New,0
100-1000 Disposable K-Cup Paper Filters For Keurig K-Cup Coffee Refillable Pods ,True,,10495599,Brand New,0
"Starbucks Vanilla Flavored Ground Coffee, 11 Ounce (Pack of 6) NO PO BOX",False,0,2799,Brand New,0
Starbucks Holiday Blend Medium Roast Coffee 72 K-Cup PODS Exp. 07/2022 -,False,,3499,Brand New,0
"Tully's Coffee Hawaiian Blend K-Cup Pods, Medium Roast Coffee, 100 count in Box",False,0,4275,Brand New,0
"STARBUCKS Pike Place DECAF Med Roast Coffee 96 K-CUP PODS - BB Oct. 27, 2022",True,,4999,Brand New,0
"2, 5, 10 LB NICARAGUA FRESH ROASTED COFFEE BEANS - ARABICA",True,,18004999,Brand New,0
"Gloria Jean's Hazelnut Coffee, Keurig K-Cup Pod, Medium Roast, 24 Count",False,0,1499,Brand New,0
"Peet's Coffee Dark Roast Ground Major Dickason's Blend 18oz Bags, 5 CASE 09/2022",False,,2800,Brand New,1400
"Caribou Coffee Caribou Blend K-Cup Pods, Medium Roast Coffee, 100 Count",False,0,4388,Brand New,0
"Gevalia Signature Blend Mild Light Roast K-Cup Coffee Pods, 84 ct Box",False,0,3079,Brand New,0
"Kirkland Signature Organic Coffee Medium Roast Fair Trade, Keurig K Cup Pods",True,51,9396648,Brand New,0
"Yuban Ground Coffee, Traditional Roast (48 oz.) 100% Robusta and Arabica Beans",False,87,1611,Brand New,300
Hawaiian Coffee Beans Grown Dark Roast 100% Whole Bean Coffee Beans 2x10 oz.,False,,1395,Brand New,0
Starbucks Sumatra Dark Roast for Keurig Brewers K-Cup Coffee Pods - 4 x 24 Count,False,0,5099,Brand New,0
Starbucks (20Lbs) Sumatra Dark Roast Whole Bean Commercial Coffee Bags BBD 3/22,False,,6999,Brand New,0
"Copper Cow Coffee Peppermint Latte , 20 Packs ( 10 Peppermint + 10 milk)",True,,2085,Brand New,0
"Laird Superfood Dark Roast Coffee w/ Functional Mushrooms, 12 oz. (Best By 1/22)",True,,1148,Brand New,0
"Starbucks by Nespresso, best seller variety pack100-count Single serve capsule ",False,130,3599,Brand New,0
"Maxwell House The Original Roast Instant Coffee, 8 oz Jar FREE SHIPING",False,42,728,Brand New,0
Hazelnut Decaf Coffee,False,0,1599,Brand New,0
Maxwell House Original Roast Ground Coffee 42.5 oz. Canister (6pk),False,51,5499,Brand New,0
STARBUCKS VIA Pike Place Instant Medium Roast Coffee 312 ct EXP AUG 2022,False,92,4999,Brand New,0
"Member's Mark Donut Shop Coffee, Single-Serve Cups K-Cups (100 ct.)",False,0,2959,Brand New,0
Kauai Hawaiian Ground Coffee Hawaii's Grower Coconut Caramel Crunch Flavor-10OZ,False,19,799,Brand New,0
"Kirkland Signature House Decaf Organic Coffee Medium Roast, Keurig K Cup Pods",True,86,9396268,Brand New,0
"McCafe Decaf Premium Roast K-Cup Coffee Pods Medium Roast, 94 counts",False,0,3988,Brand New,0
100% HAWAIIAN COFFEE - HUALALAI ESTATE Kona Hawaii - 7oz GROUND - Pesticide Free,False,194,1698,Brand New,0
Kirkland Signature Fine Ground Coffee 100% Colombian Supremo or Decaf Dark Roast,True,232,2998,Brand New,0
"Green Mountain Coffee Breakfast Blend Decaf, Keurig K-Cup Pod, Light Roast, 96ct",False,0,5499,Brand New,0
"2, 5, 10 LB GUATEMALA FRESH ROASTED COFFEE WHOLE BEAN, GROUND - ARABICA",True,,18006298,Brand New,0
